context,wrong,right
"Oooo...
Suluk (syair) Ki Surono Gondo Taruno yang diikuti Ladyt Jales Wicaksono menambah suasana seram dan tegang dalam adegan memerangi musuh antara Bratasena dan Ratu Sabrang.",Ladyt,Lady
"Tujuh bidang yang diberi prioritas ialah eletronik, peralatan pertanian, pemerosesan pertanian-perikanan, pembuatan kapal, lingkungan hidup dan penghematan energi, industri otomotif dan suku cadang.",pemerosesan,pemrosesan
"Dibandingkan dengan mereka yang tidak makan buah, orang yang mengkonsumsi dua porsi buah per hari memiliki resiko 31 persen lebih kecil untuk terserang aneurima dan 39 persen lebih rendah untuk mengalami aneurisma kambuhan, kata mereka sebagaimana dilaporkan Xinhua, Selasa.",aneurima,aneurisma
"Petenis Afrika Selatan tersebut menembus final untuk kali kedua secara bertrurut-turut dalam dua pekan terakhir, setelah mengalahkan Alexandr Dolgopolov, 6-1, 5-7, 6-4, tepat dalam dua jam.",bertrurut-turut,berturut-turut
"Dari tujuh pertandingan yang telah dijalani, tim kebanggaaan warga Malang Raya ini mampu menang telak atas Persidafon (5-2), Persiram (3-0), Mitra Kukar (3-1) dan Persisam Samarinda (3-1).",kebanggaaan,kebanggaan
Bekasi butuh anggaran meubeler sekolah Rp92 miliar,meubeler,mebeler
"Sedangkan, jalan arteri sekunder dan jalan arteri perimer merupakan kewenangan Dinas PU DKI Jakarta dan Kementerian PU,"" ucapnya.",perimer,primer
"Melihat saudarannya tak bergerak Fahturazi hendak menolong, namun ikut kaku.",saudarannya,saudaranya
"Pada babak perempat final, Firdasari yang menempati unggulan keempat akan bertemu unggulan kelima dari Jepang kaori Imabeppu yang sebelumnya menyingkirkan pemain Taiwan Lin Ying Chun 21-10,21-11.",kaori,Kaori
Kelompok massa yang tergabung dalam Federasi Serikut Buruh Kota Tangerang (FSPKT) datang mengendarai ratusan sepeda motor.,Serikut,Serikat
Rashford merupakan satu dari sejumlah pemain sepak bola yang menitii karier profesional sesudah meniti ilmu dan berkiprah di sepak bola usia muda berawal dari klub Fletcher Moss Rangers.,menitii,meniti
"""Kalau saya boleh kasih saran, investasi-lah di Indonesia.",investasi-lah,investasilah
"Ketika ditanya mengenai jabatan yang tepat untuk Agung, lagi-lag Idrus berkelit.",lagi-lag,lagi-lagi
"Secara medis, stroberi dianggap memiliki sifat pembersihan, karena kombinasi dari laksatif dan aksi diuretik.. Buah ini juga digunakan untuk membersihkan darah.",diuretik..,diuretik.
"""Kesalahan saya adalah tidak teliti, ada kelemahan manajerial dan kurang pengawasan terhadap unit kerja yang mengurus pengadaan simulator karena saya sudah percaya dan tidak lagi memeriksa hasil pekerjaan anggota, mereka punya kompetensi dan sertifikasi pengadaan, ditambah padatnya jadwal kegiatan saya sepagai Kakorlantas,"" kata Djoko saat menyampaikan nota pembelaan pribadi.",sepagai,sebagai
"Usia tugu yang sudah cukup lama dan ditemukannya beberapa retakan di bagian tugu, memaksa Dinas Kebudayaan Provinsi DiY dan Dinas Purbakala Provinsi DIY harus segera melakukan penyelamatan dengan merenovasi tugu.",DiY,DIY
"Selang tiga puluh menit kemudian, petugas berhasil meringkus tersangka yang menumpang bus PO Nusaantara nomor polisi K 1577 BB jurusan Semarang-Pati.",Nusaantara,Nusantara
"Yanto menjelaskan PC tertangkap tangan membawa 355,2 grm sabu yang disembunyikan di dalam pegangan dua tas yang dibawa dari Thailand.",grm,gram
"Pelayanan samsatMeskipun Kapolri Jenderal Bambang Hendarso Danuri telah menginstruksikan seluruh jajarannya untuk tidak melakukan pungli, pada praktikmya masih ada oknum anggota Polri yang melakukan hal itu.",praktikmya,praktiknya
Namun kesuksesan diraih ketika single Bahagia dari album Sttonger meledak.,Sttonger,Stronger
"Di London, minyak mentah Brent North Sea untuk penyerahan April, acuan internasional, melemah tujuh sen menjadi 60,48 dolara AS per barel.",dolara,dolar
"JawaPos.com - Sesosok mayat yang ditemukan tewas mengenaskan di Jalan Kebon Baru, Tebet, Jakarta Selatan pukul 06.00 pagi tadi, ternyata seorang pengsungsi UNHCR.",pengsungsi,pengungsi
"Sementara, ujar dia, dalam era demokrai dan media sosial seperti sekarang, publik dan media massa adalah pengontrol utama.",demokrai,demokrasi
Berikut jumlah pendatang baru Jakarta Pusat yang didapat dari Sudin Dukcapil Jakpus: - Kecamatan Gambir: 53 orang - Kecamatan Sawah Besar: 985 orang - Kecamatan Senen: 191 orang - Kecamatan Kemayoran: 86 - Kecamatan Cempaka Putih: 49 orang - Kecamatan Menteng: 30 orang - Kecamatan Tanah Abang: 1.211 - Kecamatan Johar Baru: 59 orangc,orangc,orang
"Adalah Ali Afifi (28), warga kota Tanta di kawasan delta Sungai Nil, Mesir yang mengaku memilikib ""hobi"" mencuri sejak kecil.",memilikib,memiliki
"Pendidikan: Umum:- Akademi Militer Nasional (AMN) (1970)- Master of Public Administration, George Washington University, USA (1991) Khusus:- Kursus Dasar Para- Latihan Komando- Kursus Kejuruan Perwira (Susjurpa) Bom Disposal- Susjarpa Jumhaster, USA- Sujur Terjun Bebas- Sekolah Penanggulangan Teror, GSG 9, Jerman- Kursus Dasar Kecabangan (Susarcab) Infanteri- Kursus Lanjutan Perwira (Suslapa) Infanteri- National War College, USA- Latma Kekar Malindo, Malaysia- Instruktur Bom Disposal, USA- Instruktur Anti Teror, Jerman- Akabri Angkatan Darat (1970)- Special Forces, USA (1978)- Instruktur HALO, USA (1980)- Instruktur Jump Master HALO, USA (1980)- GSG.",Komando-,Komando
Ical berjanji akan melakukan regenerasi di kepengurasan DPP Partai Golkar.,kepengurasan,kepengurusan
Menteri Informasi Ahmed Belal Osman menuduh Al-Arabiya berusaha membawa Kebangkitan Arab ke Sudan dengan memberikan laporan yang salah tentang protes-protes itu.,Belal,Bilal
"""Kita gencar melakukan penmeriksaan karena daging ini bila tidak sesuai prosedur yang telah ditetapkan akan berpotensi menjadi tempat penyebaran penyakit.",penmeriksaan,pemeriksaan
"Namun, dengan suhu permukaan Titan yang dingin, sekitar -292 derajat fahrenheit (sekitar -180 derajat celsius), alih-alih air, justru metana cair dan etana yang mendominasi Titan dan jumlahnya setara dengan jumlah air Bumi.",etana,metana
"Mahfud mengatakan, dirinya yakin proses pemungutan suara akan berjalan dengan lancar, kalaupun ada permasalahan mungkin hanya di taknisnya saja.",taknisnya,teknisnya
Pabrik SK didirikann dan diresmikan oleh Presiden Soeharto tahun 1984.,didirikann,didirikan
"Teguh menjelaskan keberadaan lembaga penyelenggara Pemilu di daerah deperti KPUD, Bawaslu provinsi maupun Panwaslu, mengacu pada UU No 15 tahun 2011 tentang Penyelenggaraan Pemilu.",deperti,seperti
"Sementara kedua korban yang merupakan teknisi orgn tunggal yang baru  membeli solar di stasiun pengisian bahan bakar umum (SPBU) di Manggopoh terjatuh,"" katanya.",orgn,organ
"Kami mohon maaf kepada pelanggan atas ketidaknyamana ini,"" ucap Mohamad Sultan, Rabu.",ketidaknyamana,ketidaknyamanan
"""Kami lebih tenang naik moda transportase KA dibandingkan angkutan bus,"" katanya.",transportase,transportasi
"Meski demikian, lokasi bersejarahn ini cukup ramai dengan kunjungan.",bersejarahn,bersejarah
"Terkait penuntasan kasus Century yang merugikan negara Rp 6,7 triliun, mahasiswa meminta Presiden Susilo Bambang Yudhoyono untuk menonktifkan Wakil Presiden Boediono dan Menteri Keuangan Sri Mulyani.",menonktifkan,menonaktifkan
Hingga saat ini dilokai kebakaran masih ramai didatangi warga yang sekedar ingin menyaksikan bekas kebakaran dan sebagian berbelanja.,dilokai,dilokasi
Kombes Slamet Riyanto digeser menhadi Wakapolda Jambi.,menhadi,menjadi
"Dengan tarif sewa yang dinaikkan Rp 50.000-Rp 100.000 per hari, pun, semua mobil tetap laris dipesan bahkan jaruh hari sebelumnya.",jaruh,jauh
"Proses pengerjakan dua kantor tersebut saat ini tinggal tahap penyelesaian, dan diyakini tidak akan molor karena pengerjakannya di dalam ruangan.",pengerjakannya,pengerjaannya
Fadli yang merupakan alumnus Universitas Islam Negeri (UIN) Syarief Hidayatullah melanjutkan bahwa ideologi Pancasilan dan NKRI itu adalah harga mati.,Pancasilan,Pancasila
"""Pemerintah sekarang presiden berapa perda dihapuskan yang tidak meguntungkan investasi.",meguntungkan,menguntungkan
"Frieden ditekan atas tanggapan dan kesiapannya menangani Ebola, tapi juru bicara Gedung Putih Josh Earnest menyatakan Presiden Amerika Serikat Barack Obama yakin akan kemempuan Frieden memimpin upaya kesehatan masyarakat.",kemempuan,kemampuan
"Maunya ya bisa  menang,"" kata Butet dalam jumpa pers selepas pertandigan di stadion  Britama Arena Jakarta, Kamis.",pertandigan,pertandingan
"Dia mengaku telah menjalani persaingan penentuan capres di internal PKS dengan masuk 22 besar, kemudian lima esar dan sekarang tiga besar.",esar,besar
Agentina tolak undangan Inggris terkait Malvinas,Agentina,Argentina
"Kini tinggal proses pelaksanaan testing dan comissioning peralatan angkat dan angkut,"" katanya.",comissioning,commissioning
"Upaya itu akan dilakukan dengan melibatkan sejumlah lembaga atau kementerian, termasuk Kementerian Lingkungan Hidup dan Kehutanan, Kementeriaan Pekerjaan Umum dan Perumahan Rakyat, Kementerian Pertanian, Kementerian Agraria dan Tata Ruang, dan Badan Perencanaan Pembangunan Nasional.",Kementeriaan,Kementerian
"AK negeri pertama akan dibangun di Kabupaten Pacitan, Jawa Timur, dan pemancanan tiangnya akan dimulai bulan depan.",pemancanan,pemancangan
"AMBON, KOMPAS.com - Geng motor berulah di Kota Ambon, sebanyak 15 remaja menganiaya dua warga Batu Gaja Kecamatan Nusaniwe yakni, Faldi Latupautty dan Devi Latuloma.",Latupautty,Latuputty
"Untuk menangani perlindungan kepada jemaah Indonesia pihak Kedutaan besar RI telah melakukan kerjasama dengan pihak pemerintahan kerejaan Arab Saudi, agar bisa membantu kemudahan pada warganya yang bermasalah.",kerejaan,kerjaan
"Sementara itu, pada aplikasi First Aid, pengguna disajikan sejumlah informasi menarik, seperti langkah pertama jika terkena sertangan jantung, hypothermia, alergi, asma ataupun patah tulang.",sertangan,serangan
"""Penegakan hukum, masalah profesionalisme aparat, tindak pidana narkoba, itu menjadi prooritas bapak Kapolri,"" ujar Boy.",prooritas,prioritas
"Tapi dengan tiga tolok ukur Islaminya kota yaitu aman, sejahtera dan bahagia bisa menjadi fakta yang menarik,"" kata Direktur Riset Maarif Institute Ahmad Imam Mujadid Rais dalam paparan IKI di Jakarta, Selasa.",Islaminya,Islami-nya
Laporan itu selain berasal dari database yang ada di PPATK juga didapat dari database kepemilikan rekening yang ada pada penjedia jasa keuangan baik bank maupun non bank.,penjedia,penyedia
Seusai ibadah pada pukul 13.00 WITA masih terlihat Tim Gegana Brimob Polda Kaltim terus melakukan penyusuran dan sterilisas dekat Gereja Injili Nusantara Jemaat Kasih Balikpapan.,sterilisas,sterilisasi
"Setelah konsultasi itu, menurut Tripeni, OC Kaligis meninggalkan ampolop.",ampolop,amplop
"Selain itu, seperti yang dikemukan salah satu operator terminal Pelabuhan Leam Chabang, Wakil GM Terminal NYK Group Capt Wasurat Krachangmon, pemerintah Thailand membangun pelabuhan yang dibangun pada 1989 dan beroperasi mulai 1991 itu untuk mengantisipasi dan mendorong industri ke luar Bangkok.",dikemukan,ditemukan
"""Keamanan dan keselamatan konsumen dan awak kami selalu menjadi prioritas utama dan kami tak akan pernah mengoperasiskan satu penerbangan jika tak aman.""",mengoperasiskan,mengoperasikan
Namun Pacquiao tidak meganggap semuanya sebagai sesuatu yang berlebihan.,meganggap,menganggap
"Pasalnya, Maftuh selaku Amirul Haj Indonesia sudah dijadwalkan akan berangkat ke Arab Saudi pada tanggal 1 Desember mendatang,Menurut Muchtar, penetapan Idul Adha atau Lebaran haji berbeda dengan penetapan Lebaran Idul Fitri- 1 Syawal.",Fitri-,Fitri
JawaPos.com - Cedera ankle yang dialami Luiz Ricardo membuat perjalanannya bersama PSM Makassaar di Indonesia Soccer Championship (ISC) harus berakhir.,Makassaar,Makassar
"Sebab itu, hubernur minta agar pihak PLN Wilayah Sumbar untuk membuat surat tertulis kepada gubernur untuk segera dibahas dengan para bupati serta walikota Sungaipenuh.",hubernur,Gubernur
"Namun, untuk bantuan hukum dari Partai Demokrart untuk Jero Wacik, Agus mengatakan, tentu akan diberikan.",Demokrart,Demokrat
Turut hadir dalam upacara adalah Panglima Komando Armada RI Kawasan Timur Laksamana Muda TNI Darwanto besertai Ketua Daerah Jalasenastri Armada Timur Ny.,besertai,beserta
"Tanjung Pinang (ANTARA News) - Puncak peringatan Hari Sumpah Pemuda (HSP) secara nasional di Tanjung Pinang, Kepulauan Riau, Rabu, selain diperangati dengan upacara juga diwarnai penyatuan tanah dan air dari 34 provinsi yang ada di Indonesia.",diperangati,diperingati
"Permintaan politikus Partai Keadilan Sejahtera (PKS) itu  dinyatakan dengan melihat fenomena antrean panjang pemmbeli BBM bersubsidi, sehingga rawan menimbulkan kericuhan di SPBU.",pemmbeli,pembeli
"""Pemandu itu ditemukan dalam kondisi lemas dan saat ini masih dirawat di Puskemas Pulau Derawan, sehingga belum bisa dimintai keterangan"" ujar Wahyu Widhi Heranata.",Puskemas,Puskesmas
"Direbutnya At-Tanf oleh IS terjadi sehari setelah kelompok fanatik tgersebut sepenuhnya menguasai Kota Kuno Palmyra di Suriah Tengah, kemajuan yang telah menambah kemunduran yang telah dialami militer Suriah di bagian utara dan selatan negeri tersebut.",tgersebut,tersebut
Saat melintas Agus hanya melihat bagian rambutya saja.,rambutya,rambutnya
"Dia pernah mendirikan kamp militer Hudibiyah di Mindanao, Filipina Selatan.",Hudibiyah,Hudaibiyah
"Terakhir, dari Kemenkominfo juga dimintai pendapatnya untuk melihat subjek Informasi dan Transakai Elektronik.",Transakai,Transaksi
"""Sekarang tahun 2013, mungkin bisa diperkirakan saja (umurnya), karena kamu enggak punya dataa tentang dia yang sudah dipecat,"" jawab Zaenal terkait kepastian usia Heru.",dataa,data
"JAKARTA, KOMPAS.com - Kepala Polri Jenderal Pol Bambang Hendarso Danuri menegaskan, Mabes Polri akan menyerahkan rekaman embicaraan antara Deputi Penindakan KPK Ade Raharja dengan Ary Muladi.",embicaraan,pembicaraan
"Keterlambatan pemasokan BBM tersebut kemudian memicu kepanikan masyarakat, seperti terlihat dalam antrdan panjang kendaraan bermotor pada SPBU-SPBU tersebut.",antrdan,antrian
BLH berharap masyarakat setempat tidak menebang pohon sembarangan tetapi jurtru menanam pohon agar kawasan tersebut tetap hijau.,jurtru,justru
Johan enggan menyebutkan keterlibatam perempuan muda yang masih berstatus pelajar itu.,keterlibatam,keterlibatan
"Jakarta (ANTARA News) - Laga lanjutan Seri II Liga Bola Basket Nasional (NBL) Indonesia antara NSH GMC Jakarta melawan Bimasakti Nikko Steek Malang, yang sedianya berlangsung pukul 14.00 WIB, Sabtu, ditunda akibat banjir yang menghambat akses para pemain.",Steek,Steel
Jika mampu melewati babak kedua kemungkinan besar Andre bakal bertemu unggulan ketujuh dari Jepang Kento Momoto yang kini menempati peringkat 64 dunia.,Momoto,Momota
"Setelah bel penutupan Selasa, pembuata alas kaki  dan pakaian  atletik itu melaporkan laba per saham 0,55 dolar AS untuk kuartal ketiga tahun fiskal 2016 pada, pendapatan delapan miliar dolar AS.",pembuata,pembuatan
"Casillas melakukan debut tim pertamanya untuk Real pada Septmber 1999 dan telah melakukan 724 penampilan dalam 16 musim, memenangi sejumlah trofi termasuk tiga mahkota Liga Champions dan lima gelar Liga Spanyol.",Septmber,September
"Sementara itu tuan rumah Napoli nyaris menelan kekalahan dari tamunya Athletic Bilbao setelah Gonzalo Higuain memupus gol Iker Miniain pada menit 68 babak kedua, demikian ESPN.com.",Miniain,Muniain
"Menurut Kepala Dinas Pendidikan DKI Jakarta Taufil Yudi Mulyanto, pemilihan kedua sekolah ini bukan berdasarkan 'nama besar' kedua sekolah tersebut yang terkenal karena sering terlibat dalam aksi tawuran pelajar.",Taufil,Taufik
"Namun, pengacaran Bagindo belum memutuskan mengajukan penangguhan penahanan.",pengacaran,pengacara
"""Dengan ini, pengemudi dapat dengan mudah menerima pesanan, pembayaran dan melakukan penatikan tunai tanpa harus memiliki ATM Mandiri,"" katanya.",penatikan,penarikan
"Rano berharap, Arief - Sachrudin langsung bertugas, dan berharap pelantinan mereka terlaksana dengan lancar hari ini tanpa hambatan apa pun.",pelantinan,pelantikan
Pedagang sengaja m elipat dan menjahit bagian tengah sarung sehingga mirip dengan sarung buatan tangan.,elipat,melipat
"Dan ini terpaksa dilakukan karena maskapai lebih mengutamakan prinsi keselamatan dalam penerbangan,"" katanya.",prinsi,prinsip
"Jakarta (ANTARA News) - Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimian ""Cak Imin"" Iskandar tetap optimistis, pasangan calon gubernur Jawa Timur yang diusungnya, Khofifah Indar Parawansa-Herman S Sumawiredja (Berkah) dapat memenangkan pemilihan gubernur meski dalam hitung cepat keduanya kalah dari pasangan Soekarwo -- Saifullah Yusuf (Karsa).",Muhaimian,Muhaimin
"Tim Badan Restorasi Gambut itu akan ditangani oleh sebuah lembaga independen yang dibentuk oleh Presiden Joko Widodo, kata Sekjen Kementerian LHK, Bambang Handroyono di Palembang, Rabu.",Handroyono,Hendroyono
Skuad asuhan asisten pelatih Choirul Huda itu menempuk sejumlah pemain di lini belakang.,menempuk,menempuh
Lomba foto hotel di Pontinak dongkrak kunjungan wisatawan,Pontinak,Pontianak
CarPlay nirkabel ini dapat menghubungakan mobil dengan ponsel pengguna dengan cara mengaktifkannya di pengaturan ().,menghubungakan,menghubungkan
"Penari Thailand, Ronnarang Khampa menjelaskan, acara ini merupakan pertunjukan sejumlah seniman luar negeri, sehingga panitia tidak akan mudah menentuklan batasan tema.",menentuklan,menentukan
"Jakarta (ANTARA News) - Sebuah ""kursi penupang pesawat"" warna biru terdampar di pulau terpencil sama dengan potongan sayap dan koper penumpang pesawat ditemukan beberapa hari lalu yang kemudian dianggap sebagian kalangan sebagai berasal dari pesawat Boeing 777 milik Malaysia Airlines Penerbangan MH370 yang hilang tahun lalu.",penupang,penumpang
"Mereka sudah didatangka kemari tapi tidak diurus dan ditelantarkan begitu saja,"" katanya.",didatangka,didatangkan
"""Paling tidak ini bisa menjadi contoh bagi pemda, khususnya pemkot Pontianak, untuk mengemas wisata yang baik agar kedepan pemkot Pontianakn dan Pemprov Kalbar bisa mengemasnya lebih menarik lagi dengan modal yang sudah ada sekarang ini,"" katanya.",Pontianakn,Pontianak
"Dengan surat peberitahuan itu katanya dan berbekal bukti tanda terima pemberitahuan munas, kegiatan Munas Golkar sudah bisa dilaksanakan.",peberitahuan,pemberitahuan
"Andi Mattalatta Ketua Munas  Lebih jauh, terkait hasil rapat harian DPP Partai Golkar, Bambang juga menyatakan, rapat telah memutuskan Ketua DPP Partai Golkar, yang juga Menteri Hukum dan HAM Andi Mattallata t elah ditunjuk sebagai ketuas panitia penyelenggara pelaksanaan Musyawarah Nasional (Munas) Partai Golkar di pekanbaru, Riau, 4-7 Oktober mendatang.",ketuas,ketua
"""Banyak hal yang harus kita kaji dulu,"" tututr Wirdyaningsih pada kesempatan yang sama.",tututr,tutur
Karawang (ANTARA News) - Wilayah perkotaan Kabupaten Karawang menjadi daerah tertinggi angka kriminalitasnya dibandingkan dengan daerah lainnya selama Januari-Desember 2014 di provinsi Jawa Barat.,kriminalitasnya,kriminalitas-nya
Rexy mengatakan selama ini persoalaan fisik selalu menjadi kendala bagi atlet saat berlaga di turnamen.,persoalaan,persoalan
Dia meyakinj polisi akan melaksanakan tugasnya secara profesional,meyakinj,meyakin
"Pada Rabu, pasvaserangan pekan lalu di Tunisia, juru bicara Cameron mengatakan pemerintahnya sedang melihat kembali keseluruhan strategi di wilayah ini.",pasvaserangan,pascaserangan
"Jakarta (ANTARA News) - Setelah meluncurkan WhatsApp di web, perusahaan pesan instan tersebut dikabarkan tengah mengembangkan aplikas untuk Windows dan Mac.",aplikas,aplikasi
"Kapolres Gorontalo Kota, AKBP Roni Yulianto di Gorontalo, Senin, mengatakan, penetapan terhadap dua pelajar inisial inisal OH (20) yang masih berstatus pelajar dan anak kandung korban sendiri inisial NF (17) yang juga pelajar, berdasarkan sejumlah alat bukti.",inisal,inisial
"Untuk membawa Rousseff keluar dari bayangannya dan menjadikan dia sorotan selama kampanye 2010, Lula memastikan Rousseff berada di sisinya ketika dia memorong pita untuk proyek-proyek publik besar.",memorong,memotong
Dua desa di Aceh Tengah amlas akibat gempa,amlas,amblas
"Sementara ini proplem tersebut dalam penyelidikan Polrestabes Makassar dan Polsekta Tamalate,"" tandasnya.",proplem,problem
"""Akses merupakan kelamahan utama (dalam pengembangan Danau Toba),"" katanya.",kelamahan,kelemahan
"Menurut dia, dalam sejarahnya, itik ini merupakan anugerah Raja Metaram kepada abdi dalem agar ditangkarkan di daerah Bantul, tetapi tidak disebutkan kapan dan siapa saja raja pada saat itu.",Metaram,Mataram
Pemeriksaan yang dilakukan dengan memaksa tanpa memerhitungkan kondisi kesehatan AQJ dapat membatalkan seluruh berkas pemeriksaan.,memerhitungkan,memperhitungkan
"Dalam penyelenggaraan simposium itu, UBH bekerjasama dengan Pusat Kajian Bahasa dan Budaya, Universitas Katolik Indonesia Atmajaya, Departement of Linguistics and Cognittive Science, Universitiy of Delawere dan Departemnt Linguistic, Max Planck Institiute for Evolutionary Anthoropology, Jerman.",Universitiy,University
"Saat ditanya mengenai keberatan siswa harus mengeluarkan uang untuk fotokopi dan repot mengunduh karena belum mendapat buku kurukulum itu, Mustagfirin menjelaskan, seharusnya tidak usah rugi.",kurukulum,kurikulum
"Ray menuturkan, hal tersebut sebagai ""peringatan"" agar Golkar tidak terlalu getol menyoal kasus Bankk Century.",Bankk,Bank
"""Sampai saat ini tidak ada kejadian yang menonjol pada malam perhantian tahun ini, dan diharapkan di tahun baru nanti situasa keamanan di Kota Jambi juga cukup kondusif aman dan terkendali,"" kata Almansyah.",perhantian,pergantian
"""Kami akan memperketat penerimaan siswa melalui jalur prestasi ini, tidak hanya surat keterangan dan serifikat saja asebagai syarat masuk, tapi juga dikombinasikan dengan nilai siswa dengan persentase tertentu,"" ujarnya.",asebagai,sebagai
Ukuran payudara Jiag Qing 34F.,Jiag,Jiang
Ia memiliki hampr 700 ribu pengikut di Instagram.,hampr,hampir
"JAKARTA, KOMPAS.com - Kepolisian RI didesak untuk segera mengungkap kasus penembakan polisi yang berlakangan ini terjadi.",berlakangan,belakangan
"Mengenai pengelolaan dana hibah dan pengelolaan kuangan daerah,"" kata dia.",kuangan,keuangan
"CO. ID, CISARUA -- Ketekunan seorang keeper badak putih (c eratotherium simum ), Poniran (40 tahun) rupanya terbayar sudah dengan kelahiran satu bayi satwa bekulit tebal.",bekulit,berkulit
Para buruh yang berdemonstransi menganggap UU BPJS-SJSN ini menyengsarakan buruh serta keluarganya.,berdemonstransi,berdemonstrasi
"Jakarta (ANTARA News) - Kendati hanya sedikit penyanyi solo pria yang mampu bertahan di tengah industri musik, namun kenyataan ini tak menyurutka niat Aditya Wibisono atau akrab disapa Dyno ini untuk menghadirkan sebuah debut album bertajuk 'Berawal Di Sini'.",menyurutka,menyurutkan
"""Tentu saja, ini bukan gelar paling penting untuk menang, tetapi ketika itu terjadi -dan akan- itu bukan berarti projek selesai.",akan-,akan
"""Meskipun unurnya (Sulistina Soetomo) sudah tua, memori ingatannya masih bagus,"" ujar Wida.",unurnya,umurnya
"Ia mengatakan, Gunung Raung masih berstatus siaga, sehingga masyarakat diimbau harus berhari-hati atas penyebaran abu vulkanik tersebut karena mengandung silika tajam, sehingga membuat lebih iritatif di mukosa selaput mata dan pernapasan dan dikhawatirkan orang yang terpapar abu ini bisa terkena radang mata atau radang pernapasan.",berhari-hati,berhari-hari
"Mulai Januari tahun depan, kapten pilot yang melayani penerbangan ke 10 bandara tersibuk China -termasuk Guangzhou, Shanghai, Chengdu- harus mampu mendarat di ibu kota Beijing saat jarak pandang hanya sekitar 400 meter.",Chengdu-,Chengdu
"""Militansi personal biukan hanya dalam melaksanakan tugas, kemudian mengalahkan musuh.",biukan,bukan
"Jakarta (ANTARA News) - Berakting untuk film omnibus ""Wanita Tetap Wanita"" rupahnya membuat Zaskia Sungkar ketagihan memasak.",rupahnya,rupanya
"Lorient terlihat akan mengalahkan rival regional mereka itu untuk kedua kalinya pada musim ini, ketika mantan penyerang Arsenal Jeremie Aliadere membawa mereka unggul 2-1 melalui tembakan jarak jauh yang bersarang di sudut atas gawang.",Aliadere,Aliadiere
Kedua jederal tersebut lalu melaporkan Susno melakukan pencemaran nama baik (Pasal 310 KUHP) dan pemfitnahan (Pasal 311 KUHP) atas tudingan Susno itu.,jederal,jenderal
"Syofyan mengatakan, UMP yang ditetapkan untuk 2014 merupakan upah terendah bulanan dengan rincian Upah Pokok Menimun 75 persen dan tunjungan tetap 25 persen.",Menimun,Mentimun
"""Delapan lemabaga survei yang kami laporkan, Populi Center, CSIS-Cyrus, Litbang Kompas, Indokator Pol, LSI, RRI, SMRC, dan Poltracking Institute,"" ujar Juru Bicara Advokat Indonesia Raya, Muhammad Achyat seusai mengajukan laporan ke Bareskrim Polri, Selasa 15 Juli.",Indokator,Indikator
Tetapi berguna untuk menmperkuat  sejauh mana proyek ini diketahui oleh Menteri Pemuda dan Olahara Andi Mallarangeng.,menmperkuat,memperkuat
"Ya soal suap itu tergentung penelusurannya bagaimana,"" ucap Haryono.",tergentung,tergantung
"""Dengan penutupan pelayaran tersebut sejumlah armada milik PT Feryy Indonesia Cabang Kupang tertahan di pelabuhan-pelabuhan perintis tersebut.",Feryy,Ferry
"Meski agak mahal, namun jasa katinting ini banyak digunakan warga terutama para penumpang angkutan umum yang akan bertukar kendaraan di seberang Sungai Boyantongo agar boisa segera melanjutkan peerjalanan mereka ke tempat tujuan.",boisa,bisa
"Dari karakteristik topografi, ketebalam gambut Riau hingga puluhan meter dan memungkinkan bara api bersembunyi,"" kata Direktur Eksekutif KADIN Riau, Muhammad Herwan, di Pekanbaru, Jumat.",ketebalam,ketebalan
TPK Koja dalam pengelolaaan terminal peti kemas di pelabuhan Tanjung Priok.,pengelolaaan,pengelolaan
"Namun, potensi risiko masih tetap perlu diwaspadai, khususnya meningkatnya risiko geopolitik yang dapat menaikkan harga minyak, perlambatan ekonomi Tiongkok sdan normalisasi kebijakan Bank Senral AS (The Fed).",sdan,dan
"Boyke mengatakan, saat ini Partai demokat sedang mengalami masa-masa sulit.",demokat,demokrat
"YOGYAKARTA, KOMPAS.com - Setelah sempat terpuruk akibat bencana erupsi Gunung Merapi, kawasan Jalan Malioboro mulai ramai dikunjungi wisatawan.",Maliobor,Malioboro
Dalam masa pengobatana banyak rangkaian tindakan dan efek obat yang tidak nyaman dirasakan sehingga pasien kanker pada anak tidak dapat beraktivitas dengan normal.,pengobatana,pengobatan
"Menurut Ganjar, dalam waktu dekat, pihaknya akan mengundang tokoh masyarakat dan tokoh agama untuk melakukan pendekatan serta dialog melibatkan masyarakat dan pemerintah daerah setempat terkait beberapa masalah yang melatarbelakagi warga yang ingin bergabung dengan ISIS.",melatarbelakagi,melatarbelakangi
"Sebelumnya, Mahladi yang menjadi juru bicara tujuh situs Islam menyampaikan protes dan keberatan terhadap pemblokiran sepihak yang dilakukan Kementerian Komunikasi dan Informatika atas permintaan Badan Nasional Penanggulangan Terorrisme (BNPT) tersebut.",Terorrisme,Terorisme
Salah satu mesin kopi yang mampu membuat kopi ala kafe adalah Nescafe Folce Gusto Drop yang baru saja diluncurkan.,Folce,Dolce
Sejak 2010 pengusaha Maroko mengunjungi Indonesia sedikitnya sekali dalam setahun untuk mengikuti Jakarta Fair dan mempergunakan kesempatan ini mengunjungi wialayah-wilayah lain di Indonesia dan bertemu dengan para mitranya.,wialayah-wilayah,wilayah-wilayah
